"","date","awardee","awardee_id","awardee_code","Total Deliveries","Jurisdiction","Federal Retail Pharmacy Program","HRSA FQHC Program","FEMA CVC Pilot Program","HHS/NIH Program","Renal Dialysis Program","Federal Entities","Total Administrations","Jurisdiction + Federal Programs","Federal Entities Administrations","Overall Administration Ratio: Unadjusted","Overall Administration Ratio: Adjusted","Jurisdiction + Federal Program Administration Ratio: Unadjusted","Jurisdiction + Federal Program Administration Ratio: Adjusted","checksum- total admin","checksum- deliveries","delivery_total_mismatch","admin_total_mismatch","X24","Percent Jurisdiction","Percent Federal Pharmacy","Percent FQHC","Percent FEMA CVC","Percent HHS/NIH","Percent Dialysis","Percent Federal Entities"
"19","5/2/21","Iowa",1019,"IA",2825705,2022150,722705,9100,0,0,1170,70580,2378407,2325406,53001,"85.0%","86.1%","85.5%","86.8%",2378407,2825705,NA,NA,NA,71.5626719703578,25.5760951691702,0.32204352542109,0,0,0.0414055961255687,2.49778373892533
"20","5/2/21","Kansas",1020,"KS",2760075,1974580,611400,48240,0,0,2340,123515,2015286,1914487,100799,"74.0%","75.6%","75.0%","76.7%",2015286,2760075,NA,NA,NA,71.5408095794498,22.151571968153,1.74777859297302,0,0,0.0847803048830195,4.47505955454109
"21","5/2/21","Kentucky",1021,"KY",3979265,2546360,1272980,11400,7020,0,0,141505,3142500,3065164,77336,"79.7%","81.0%","80.9%","82.3%",3142500,3979265,NA,NA,NA,63.9907118525657,31.9903298724764,0.286485066965884,0.176414488605308,0,0,3.55605871938662
"22","5/2/21","Louisiana",1022,"LA",3679770,2637300,841070,15280,42120,0,0,144000,2708889,2605917,102972,"74.0%","74.2%","74.5%","74.6%",2708889,3679770,NA,NA,NA,71.6702402595814,22.856591580452,0.415243344013349,1.14463675718863,0,0,3.91328805876454
"23","5/2/21","Maine",1023,"ME",1407470,1006530,322995,16400,0,0,0,61545,1183324,1141550,41774,"85.8%","88.3%","87.7%","90.5%",1183324,1407470,NA,NA,NA,71.5134247976866,22.9486241269796,1.16521133665371,0,0,0,4.37273973868004
"24","5/2/21","Marshall Islands",1024,"MH",52000,51300,0,700,0,0,0,0,26519,26519,0,"51.0%","50.9%","51.7%","51.6%",26519,52000,NA,NA,NA,98.6538461538462,0,1.34615384615385,0,0,0,0
"25","5/2/21","Maryland",1025,"MD",6164520,3916920,1767865,20000,136790,36330,7020,279595,4807999,4632444,175555,"79.6%","81.3%","81.1%","83.0%",4807999,6164520,NA,NA,NA,63.5397403204142,28.6780641477358,0.324437263566344,2.21898866416201,0.589340289268264,0.113877479511787,4.5355518353416
"26","5/2/21","Massachusetts",1026,"MA",7459960,4624405,2004225,389430,276120,0,0,165780,6174849,6056260,118589,"84.5%","86.3%","89.7%","91.7%",6174849,7459960,NA,NA,NA,61.9896755478582,26.8664309192006,5.22026927758326,3.70136032900981,0,0,2.22226392634813
"27","5/2/21","Michigan",1027,"MI",9500250,6841775,2288365,56900,42120,0,1170,269920,7117959,6934057,183902,"75.5%","77.1%","76.2%","77.9%",7117959,9500250,NA,NA,NA,72.0167890318676,24.0874187521381,0.598931607062972,0.443356753769638,0,0.0123154653824899,2.84118838977922
"28","5/2/21","Minnesota",1029,"MN",5030120,3671605,1101270,3700,52650,0,1170,199725,4354128,4206705,147423,"87.6%","89.4%","88.2%","90.1%",4354128,5030120,NA,NA,NA,72.9923938196305,21.8935134748276,0.0735568932749119,1.04669471106057,0,0.0232598824680127,3.97058121873832
"29","5/2/21","Mississippi",1030,"MS",2465195,1837080,486655,20420,0,0,2340,118700,1591206,1521455,69751,"65.3%","65.6%","66.2%","66.6%",1591206,2465195,NA,NA,NA,74.5206768632907,19.7410346848829,0.828332038641973,0,0,0.0949214970823809,4.81503491610197
"30","5/2/21","Missouri",1031,"MO",5355995,3879785,1206980,36800,42120,0,0,190310,3985417,3829298,156119,"75.5%","76.4%","75.8%","76.8%",3985417,5355995,NA,NA,NA,72.4381744195056,22.5351218587769,0.687080551792898,0.786408501128175,0,0,3.55321466879637
"31","5/2/21","Montana",1032,"MT",999975,712015,183415,17750,0,0,0,86795,758111,699824,58287,"76.5%","76.9%","79.0%","79.4%",758111,999975,NA,NA,NA,71.2032800820021,18.3419585489637,1.7750443761094,0,0,0,8.67971699292482
"32","5/2/21","Nebraska",1034,"NE",1787950,1241365,427165,27100,0,0,2340,89980,1412904,1334354,78550,"79.5%","80.6%","80.4%","81.5%",1412904,1787950,NA,NA,NA,69.4295142481613,23.8913280572723,1.51570234066948,0,0,0.130876143068878,5.03257921082804
"33","5/2/21","Nevada",1035,"NV",2540440,1628965,782645,6870,0,0,1170,120790,2051105,1960634,90471,"81.2%","82.3%","81.8%","82.9%",2051105,2540440,NA,NA,NA,64.1213726755995,30.8074585504873,0.270425595566122,0,0,0.046055014092047,4.75468816425501
"34","5/2/21","New Hampshire",1036,"NH",1331925,982600,314555,5370,0,0,0,29400,1142049,1121381,20668,"87.6%","90.3%","88.3%","91.1%",1142049,1331925,NA,NA,NA,73.7729226495486,23.6165700020647,0.403175854496312,0,0,0,2.20733149389042
"35","5/2/21","New Jersey",1037,"NJ",8769895,6129035,2326665,36750,196560,0,16380,64505,7302227,7234485,67742,"84.7%","86.5%","84.9%","86.7%",7302227,8769895,NA,NA,NA,69.8872107362745,26.5301351954613,0.419047206380464,2.24130391526923,0,0.186775326272435,0.735527620342091
"36","5/2/21","New Mexico",1038,"NM",2059345,1391535,362660,17570,0,0,0,287580,1794170,1553159,241011,"87.2%","87.3%","88.6%","88.8%",1794170,2059345,NA,NA,NA,67.5717279037752,17.6104538093423,0.853183900706293,0,0,0,13.9646343861762
"37","5/2/21","New York",1039,"NY",19018995,13722860,4088845,142610,680940,0,2340,381400,15636512,15350966,285546,"83.4%","84.7%","84.3%","85.6%",15636512,19018995,NA,NA,NA,72.1534444906263,21.4987437559135,0.749829315376549,3.58031536366669,0,0.0123034892222223,2.0053635851947
"38","5/2/21","North Carolina",1041,"NC",9907630,7025705,2253990,44000,155440,1170,0,427325,6981218,6637514,343704,"71.8%","73.2%","71.7%","73.2%",6981218,9907630,NA,NA,NA,70.9120647420221,22.7500421392402,0.444102171760552,1.56889185405591,0.0118090804763601,0,4.31309001244495
"39","5/2/21","North Dakota",1042,"ND",645930,508025,70580,2700,0,0,0,64625,562151,518574,43577,"87.5%","88.1%","90.2%","90.8%",562151,645930,NA,NA,NA,78.6501633303918,10.9268806217392,0.41800195067577,0,0,0,10.0049540971932
"40","5/2/21","Northern Mariana Islands",1033,"MP",62910,62910,0,0,0,0,0,0,40089,40089,0,"63.2%","62.0%","63.2%","62.0%",40089,62910,NA,NA,NA,100,0,0,0,0,0,0
"41","5/2/21","Ohio",1043,"OH",10644875,7376200,2724215,22070,287820,0,3510,231060,8366253,8151588,214665,"79.4%","80.4%","79.3%","80.3%",8366253,10644875,NA,NA,NA,69.2934393311335,25.5917988703484,0.207329818339811,2.70383635317465,0,0.0329736140631055,2.1706220129405
"42","5/2/21","Oklahoma",1044,"OK",3775865,2532655,617660,21300,63180,0,0,541070,2681258,2289825,391433,"71.4%","71.5%","71.8%","72.0%",2681258,3775865,NA,NA,NA,67.0748292113198,16.358106023388,0.564109151148148,1.67325897509577,0,0,14.3296966390483
"43","5/2/21","Oregon",1045,"OR",3902545,2787835,882315,73190,21060,0,2340,135805,3047017,2942451,104566,"78.9%","80.8%","80.6%","82.6%",3047017,3902545,NA,NA,NA,71.436331932111,22.6087079072759,1.87544282000592,0.539647845188204,0,0.0599608716875782,3.47990862373144
"44","5/2/21","Palau",1049,"RP",26600,24600,0,2000,0,0,0,0,20160,20160,0,"75.0%","73.5%","81.1%","79.4%",20160,26600,NA,NA,NA,92.4812030075188,0,7.5187969924812,0,0,0,0
"45","5/2/21","Pennsylvania",1046,"PA",12877055,8468665,3314255,37700,395340,14000,11700,635395,10051331,9793905,257426,"79.6%","81.2%","82.0%","83.8%",10051331,12877055,NA,NA,NA,65.7655418882656,25.737678374442,0.292768804668459,3.07011191611747,0.108720511017465,0.0908592842074527,4.93431922128157
